CPI,Date,GDP,lnCPI,lnGDP,M4,M3,M1,lnM4,lnM3,lnM1,M2,lnM2,Consumption,lnConsumption
106.9666667,10/31/14,3798601,4.672517259,15.1501434,13.03333333,12.06666667,14.43333333,2.567510178,2.49044683,2.669540346,11.6,2.451005098,2914944,14.88536117
106.8333333,1/31/15,3481796,4.671269988,15.06305881,9.266666667,8.4,12.2,2.226423732,2.128231706,2.501435952,7.533333333,2.019337618,2591280,14.76766252
106.9333333,5/1/15,3853504,4.672205587,15.16449342,9.366666667,9.1,12.66666667,2.237157288,2.208274414,2.538973871,8.233333333,2.108190955,2695933,14.8072549
107.0333333,8/1/15,3589388,4.673140312,15.09349227,9.3,8.8,13.8,2.2300144,2.174751721,2.624668592,8,2.079441542,2636266,14.78487408
107.2666667,10/31/15,4066219,4.675317946,15.21822413,9.833333333,9.566666667,15.03333333,2.285777975,2.258284834,2.710269958,9.033333333,2.200921439,3111056,14.95047278
107.4666667,1/31/16,3722688,4.677180722,15.12995655,11.43333333,11.4,16.76666667,2.436533066,2.433613355,2.819392788,11.7,2.459588842,2777972,14.83723172
107.9666667,5/1/16,4140186,4.681822538,15.23625127,12.63333333,12.9,17.66666667,2.536338823,2.557227311,2.871679625,13.5,2.602689685,2898169,14.87958972
108.5666667,8/1/16,3852483,4.687364424,15.16422843,11.93333333,12.76666667,16.6,2.479335605,2.546837608,2.809402695,13.5,2.602689685,2828137,14.85512875
109.4333333,10/31/16,4347319,4.695315536,15.28506989,12.93333333,12.9,16.16666667,2.559807958,2.557227311,2.782951509,13.46666667,2.600217496,3319183,15.01522923
110.5666667,1/31/17,3959977,4.705618657,15.19174878,12.6,12.3,15,2.533696814,2.509599262,2.708050201,12.2,2.501435952,2943490,14.89510651
111.0333333,5/1/17,4437331,4.709830457,15.30556363,12.6,12.13333333,15.03333333,2.533696814,2.495956486,2.710269958,12.06666667,2.49044683,3073414,14.93829955
111.4666667,8/1/17,4142636,4.713725593,15.23684286,15.4,14.83333333,16.93333333,2.734367509,2.696876901,2.829284066,14.56666667,2.678735813,2983445,14.90858923
112.7333333,10/31/17,4636033,4.725025148,15.3493696,13.5,13.76666667,16.86666667,2.602689685,2.622250211,2.825339288,13.46666667,2.600217496,3527479,15.07609401
114.8333333,1/31/18,4215576,4.743481802,15.25429679,13.16666667,13.66666667,17.3,2.577688383,2.614959778,2.850706502,13.43333333,2.59773918,3114801,14.95167582
116.3333333,5/1/18,4720384,4.756459634,15.36740071,12.63333333,13.5,16.9,2.536338823,2.602689685,2.827313622,13.1,2.57261223,3263873,14.99842508
118.4333333,8/1/18,4397241,4.774350214,15.29648786,9.666666667,10.5,12.6,2.268683541,2.351375257,2.533696814,10.16666667,2.319114395,3148718,14.96250594
119.4333333,10/31/18,4931988,4.782758336,15.41125271,8.333333333,8.9,9.333333333,2.120263536,2.186051277,2.233592222,8.366666667,2.124255557,3722692,15.12995762
119.2333333,1/31/19,4457631,4.781082358,15.31012802,6.6,7.1,6.666666667,1.887069649,1.960094784,1.897119985,5.866666667,1.769286613,3308970,15.01214752
119.7666667,5/1/19,4974731,4.785545405,15.41988186,6.5,6.666666667,5.533333333,1.871802177,1.897119985,1.710790407,5.333333333,1.673976434,3447003,15.05301572
120.4,8/1/19,4675923,4.790819533,15.35793713,6.5,6.933333333,8.733333333,1.871802177,1.936340698,2.167147122,5.633333333,1.728701333,3338010,15.02088538
121.2666667,10/31/19,5260228,4.797991977,15.47568493,8.466666667,9.866666667,13.3,2.136136885,2.289162073,2.587764035,9.1,2.208274414,3933210,15.18496644
122.4333333,1/31/20,4450941,4.807566664,15.30862609,10.1,11.45,16.55,2.312535424,2.43798973,2.806386102,10.6,2.360854001,3314513,15.01382126
